id,gender,department,start_date,salary,job_title,region_id
50,Female,Automotive,2010-03-16,89969,Senior Editor,4
51,Male,Baby,2006-09-26,106281,Senior Developer,3
52,Female,Kids,2002-09-26,141678,Design Engineer,3
53,Male,Computers,2008-06-14,110839,Automation Specialist I,1
54,Female,Toys,2001-04-15,84275,VP Marketing,5
55,Male,Automotive,2004-04-21,71363,Environmental Tech,3
56,Male,Garden,2002-12-02,93680,VP Accounting,3
57,Female,Outdoors,2000-11-20,73755,Geologist II,3
58,Male,Games,2007-03-02,68857,Information Systems Manager,2
59,Female,Health,2002-03-19,48360,Registered Nurse,6
60,Male,Outdoors,2004-07-15,104896,Financial Advisor,5
61,Female,Tools,2009-08-10,81870,Occupational Therapist,7
62,Male,Automotive,2007-05-29,69936,Senior Editor,7
63,Female,Grocery,2007-12-11,138844,Mechanical Systems Engineer,6
64,Male,Garden,2011-11-12,139796,Office Assistant IV,1
65,Female,Automotive,2000-01-27,86939,Tax Accountant,3
66,Male,Beauty,2003-09-27,141949,Product Engineer,4
67,Female,Grocery,2004-08-08,114200,Senior Sales Associate,7
68,Male,Beauty,2012-09-02,121378,Web Developer I,7
69,Male,Toys,2000-08-22,148144,Data Coordiator,4
70,Female,Games,2004-11-13,93839,Database Administrator III,2
71,Male,Baby,2002-10-20,77285,Operator,6
72,Female,Music,2002-10-13,135688,Statistician I,4
73,Male,Sports,2002-04-03,78828,Director of Sales,2
74,Female,Home,2000-07-11,47206,Programmer III,3
75,Female,Outdoors,2013-10-06,78157,Senior Financial Analyst,1
76,Female,Electronics,2000-07-23,49296,Software Test Engineer II,6
77,Male,Tools,2013-02-07,139061,Environmental Specialist,3
78,Female,Games,2005-09-16,114989,Marketing Assistant,3
79,Male,Clothing,2002-09-15,88345,Junior Executive,6
80,Male,Music,2001-09-12,114647,Editor,5
81,Male,Outdoors,2004-07-24,118514,Accounting Assistant III,5
82,Female,Home,2003-05-11,93712,Junior Executive,7
83,Male,Industrial,2009-05-02,86373,Compensation Analyst,7
84,Male,Kids,2013-01-28,122110,Structural Engineer,6
85,Female,Games,2006-03-26,95542,Nurse,2
86,Female,Outdoors,2013-05-25,131392,Systems Administrator II,2
87,Male,Music,2010-10-23,98401,VP Quality Control,1
88,Female,Tools,2004-09-19,103806,Accounting Assistant I,3
89,Male,Health,2014-04-10,73686,Tax Accountant,2
90,Male,Games,2011-11-03,55002,Research Assistant IV,6
91,Male,Baby,2005-03-07,65216,Registered Nurse,4
92,Female,Automotive,2010-06-22,113231,Senior Editor,7
93,Female,Electronics,2014-04-03,125847,Chemical Engineer,5
94,Female,Music,2000-05-31,140430,Senior Cost Accountant,2
95,Male,Movies,2013-11-06,117105,VP Quality Control,5
96,Male,Beauty,2004-02-21,96673,Accounting Assistant I,1
97,Female,Games,2013-03-14,79267,VP Quality Control,7
98,Female,Kids,2007-10-11,109154,Accountant I,4
99,Female,Books,2002-04-24,138815,Physical Therapy Assistant,3
100,Male,Sports,2007-08-03,68210,Registered Nurse,4
101,Male,Games,2002-11-16,137281,VP Sales,3
102,Male,Health,2008-08-09,114970,Statistician IV,2
103,Male,Automotive,2003-07-19,126001,Structural Engineer,6
104,Male,Grocery,2003-09-16,78736,Financial Analyst,6
105,Male,Shoes,2009-09-16,80830,Quality Control Specialist,4
106,Male,Kids,2009-08-06,47879,Product Engineer,5
107,Female,Computers,2004-03-31,132634,Civil Engineer,2
108,Male,Clothing,2005-07-14,68344,Senior Cost Accountant,7
109,Female,Clothing,2007-10-14,147868,General Manager,6
110,Male,Books,2011-04-15,67255,Geologist III,4
111,Female,Computers,2012-06-13,47494,Help Desk Operator,6
112,Female,Movies,2013-07-19,127645,Legal Assistant,1
113,Male,Baby,2000-03-01,54413,Operator,5
114,Male,Grocery,2012-12-06,136790,Nuclear Power Engineer,2
115,Female,Clothing,2007-06-30,58420,Graphic Designer,1
116,Male,Industrial,2002-01-17,73813,Occupational Therapist,3
117,Male,Movies,2012-10-02,49644,Senior Developer,4
118,Male,Automotive,2009-09-03,87134,Assistant Manager,3
119,Female,Clothing,2008-10-06,148408,Speech Pathologist,3
120,Female,Toys,2008-01-23,77335,Chemical Engineer,4
121,Female,Sports,2007-08-05,131409,Technical Writer,7
122,Male,Baby,2001-02-26,77530,Librarian,1
123,Female,Garden,2002-04-26,101875,Business Systems Development Analyst,4
124,Female,Grocery,2005-12-07,144028,Executive Secretary,6
125,Female,Movies,2012-05-05,140708,Nurse,1
126,Male,Shoes,2013-07-11,79172,Associate Professor,7
127,Female,Outdoors,2000-05-18,144639,VP Quality Control,7
128,Male,Computers,2003-03-24,109449,Engineer II,7
129,Female,Computers,2006-10-15,108441,Nurse,6
130,Female,Games,2008-07-03,145692,Recruiting Manager,5
131,Male,Shoes,2000-02-24,120377,Research Nurse,4
132,Female,Home,2003-05-14,63929,Research Assistant IV,5
133,Male,Games,2001-02-01,124853,Systems Administrator III,2
134,Female,Outdoors,2010-06-03,99854,VP Marketing,6
135,Female,Kids,2013-08-11,58675,Technical Writer,3
136,Female,Beauty,2007-05-16,50060,Accountant IV,1
137,Female,Sports,2014-08-09,72748,Quality Control Specialist,3
138,Male,Electronics,2005-09-01,71082,Geologist III,7
139,Male,Jewelery,2012-01-08,119773,Pharmacist,3
140,Male,Computers,2001-01-22,82358,Information Systems Manager,4
141,Male,Games,2005-12-12,145575,VP Accounting,1
142,Male,Industrial,2009-12-06,105810,Recruiter,5
143,Male,Tools,2014-05-06,58805,Database Administrator I,1
144,Female,Baby,2008-12-08,112837,Clinical Specialist,5
145,Female,Baby,2013-04-14,125914,Junior Executive,6
146,Male,Movies,2009-02-04,133281,Account Executive,6
147,Female,Music,2012-10-06,96169,Civil Engineer,1
148,Male,Movies,2013-05-09,146970,Staff Accountant III,3
149,Female,Toys,2008-05-03,76352,Human Resources Assistant IV,4
150,Male,Health,2006-10-15,128748,Web Developer III,1
151,Male,Books,2011-08-09,50066,Operator,1
152,Male,Music,2011-07-22,105319,Compensation Analyst,4
153,Male,Home,2003-10-30,110622,Safety Technician IV,4
154,Female,Electronics,2009-10-16,87422,Help Desk Operator,7
155,Male,Books,2007-09-06,45456,Chemical Engineer,1
156,Male,Industrial,2004-05-21,52298,Analyst Programmer,7
157,Male,Shoes,2007-05-14,131252,Account Representative III,1
158,Male,Garden,2001-02-23,128766,Desktop Support Technician,2
159,Male,Tools,2009-09-12,138179,Analog Circuit Design manager,3
160,Female,Industrial,2003-06-22,85012,Financial Analyst,1
161,Male,Health,2001-08-24,131479,Senior Cost Accountant,7
162,Female,Health,2005-12-28,103182,Accounting Assistant I,2
163,Male,Garden,2000-06-07,96996,Software Test Engineer I,4
164,Female,Computers,2008-08-30,106607,Automation Specialist I,2
165,Male,Automotive,2012-12-05,130993,Administrative Officer,2
166,Male,Industrial,2006-03-05,87097,Safety Technician IV,7
167,Male,Outdoors,2013-01-25,131961,Legal Assistant,4
168,Female,Jewelery,2014-06-09,88093,Editor,7
169,Male,Movies,2010-12-24,41898,Tax Accountant,6
170,Male,Electronics,2004-06-28,52808,Human Resources Assistant I,2
171,Female,Movies,2004-09-27,110912,Geologist I,5
172,Male,Books,2009-09-05,101520,Project Manager,1
173,Female,Books,2005-11-21,55633,Systems Administrator IV,1
174,Female,Books,2010-10-08,91561,VP Product Management,7
175,Male,Grocery,2013-11-07,77307,Biostatistician IV,7
176,Male,Clothing,2012-10-14,67942,Financial Advisor,6
177,Female,Clothing,2008-09-18,80397,Compensation Analyst,1
178,Female,Sports,2003-02-17,78157,Librarian,1
179,Female,Garden,2004-01-29,121836,VP Accounting,7
180,Male,Outdoors,2008-11-08,76063,Administrative Assistant II,6
181,Female,Garden,2001-05-02,56923,Social Worker,2
182,Female,Industrial,2009-04-04,76932,Legal Assistant,5
183,Female,Games,2002-08-03,64410,Senior Developer,2
184,Female,Books,2008-02-02,111873,Payment Adjustment Coordinator,2
185,Female,Clothing,2001-09-22,74648,Health Coach III,2
186,Female,Toys,2011-09-17,144991,Technical Writer,7
187,Female,Outdoors,2005-11-04,107407,Systems Administrator II,3
188,Male,Grocery,2012-03-17,120225,Editor,7
189,Male,Home,2014-12-02,122272,Environmental Specialist,2
190,Female,Health,2002-11-13,120577,Web Designer III,1
191,Female,Electronics,2008-04-29,148986,Structural Analysis Engineer,1
192,Male,Games,2000-02-10,101855,Engineer IV,4
193,Female,Industrial,2006-02-17,140850,Financial Analyst,4
194,Male,Toys,2006-02-01,142516,Professor,1
195,Male,Shoes,2012-11-09,48829,Accountant I,1
196,Male,Outdoors,2006-09-16,81270,Geological Engineer,1
197,Female,Beauty,2011-01-03,130097,Office Assistant IV,5
198,Female,Industrial,2000-01-24,117905,Dental Hygienist,4
199,Female,Shoes,2010-11-12,142483,Social Worker,3
200,Male,Movies,2004-09-20,89633,Software Consultant,4
201,Male,Home,2009-03-18,48684,Nurse Practicioner,6
202,Female,Automotive,2004-01-23,91932,Analyst Programmer,1
203,Female,Grocery,2005-10-07,112004,Internal Auditor,7
204,Female,Beauty,2000-09-25,116013,Tax Accountant,4
205,Female,Games,2008-09-10,109058,Chemical Engineer,7
206,Male,Toys,2012-05-06,61992,Sales Representative,4
207,Female,Movies,2008-10-02,129527,Statistician II,2
208,Female,Grocery,2001-12-15,67746,Director of Sales,2
209,Male,Books,2010-03-14,104530,VP Marketing,2
210,Female,Music,2008-01-17,42759,Social Worker,4
211,Female,Kids,2011-02-25,43097,Associate Professor,2
212,Female,Outdoors,2005-11-22,123936,Internal Auditor,1
213,Male,Tools,2006-11-28,128239,Teacher,6
214,Male,Computers,2003-10-31,66084,Electrical Engineer,6
215,Male,Games,2009-03-14,106729,Occupational Therapist,5
216,Male,Jewelery,2009-03-15,87269,General Manager,4
217,Male,Home,2004-12-01,128765,Senior Financial Analyst,2
218,Male,Games,2003-05-25,104671,VP Marketing,7
219,Male,Shoes,2011-05-01,55073,Assistant Professor,4
220,Female,Outdoors,2007-11-21,146256,Paralegal,1
221,Female,Home,2005-01-15,55077,Registered Nurse,7
222,Female,Grocery,2011-04-11,124215,Recruiting Manager,2
223,Male,Computers,2008-04-28,105444,Human Resources Assistant II,6
224,Female,Sports,2010-05-01,141513,Staff Accountant I,1
225,Female,Shoes,2008-03-13,97623,Technical Writer,1
226,Male,Health,2005-11-12,106833,Registered Nurse,7
227,Female,Beauty,2006-04-18,69045,Accounting Assistant IV,2
228,Male,Outdoors,2008-07-04,113311,Programmer III,2
229,Female,Outdoors,2013-11-02,116301,Design Engineer,3
230,Female,Industrial,2006-01-05,138459,Geological Engineer,1
231,Female,Clothing,2005-07-03,87800,Sales Associate,7
232,Female,Kids,2000-05-27,52572,Compensation Analyst,7
233,Male,Electronics,2009-04-24,44917,Biostatistician IV,5
234,Female,Shoes,2010-02-02,110896,Accountant II,2
235,Male,Books,2001-12-22,108970,Senior Cost Accountant,2
236,Male,Jewelery,2009-04-27,83543,Programmer II,5
237,Female,Music,2013-07-14,63598,Budget/Accounting Analyst II,1
238,Male,Movies,2014-04-06,131274,Clinical Specialist,2
239,Female,Computers,2005-02-16,149085,Software Engineer III,7
240,Male,Games,2013-09-21,143223,Staff Accountant IV,6
241,Female,Clothing,2010-12-22,107207,Web Developer II,3
242,Male,Health,2003-11-30,137594,Operator,6
243,Male,Home,2006-01-26,139845,Director of Sales,4
244,Female,Sports,2012-09-07,65563,Help Desk Technician,4
245,Female,Kids,2014-01-02,142988,Marketing Manager,6
246,Female,Industrial,2000-01-22,134074,Product Engineer,6
247,Male,Toys,2010-01-21,80654,Geological Engineer,2
248,Male,Garden,2005-12-13,118834,Financial Analyst,6
249,Male,Kids,2013-03-03,85559,Pharmacist,2
250,Male,Books,2001-09-15,84049,Information Systems Manager,5
251,Female,Jewelery,2011-01-16,47439,Tax Accountant,7
252,Male,Tools,2000-12-16,87072,Structural Engineer,7
253,Female,Computers,2003-05-12,123401,Computer Systems Analyst I,4
254,Female,Grocery,2001-04-02,131681,Account Executive,7
255,Female,Kids,2014-08-29,96118,Social Worker,5
256,Female,Books,2006-12-01,87816,Administrative Assistant I,2
257,Female,Home,2012-06-05,83804,Operator,1
258,Male,Automotive,2007-10-26,133612,VP Product Management,4
259,Female,Computers,2010-04-14,47007,Internal Auditor,3
260,Male,Health,2005-12-13,142967,GIS Technical Architect,5
261,Female,Kids,2011-12-06,71433,Food Chemist,4
262,Female,Beauty,2000-03-08,74191,Business Systems Development Analyst,1
263,Male,Movies,2005-01-29,109004,Account Coordinator,5
264,Male,Industrial,2014-04-20,102211,Senior Cost Accountant,3
265,Male,Computers,2000-08-03,75862,Electrical Engineer,5
266,Male,Jewelery,2000-03-05,61446,Environmental Specialist,2
267,Male,Home,2011-06-02,146432,VP Quality Control,2
268,Female,Grocery,2002-02-18,50623,Biostatistician III,7
269,Male,Outdoors,2014-12-11,108248,Safety Technician I,3
270,Female,Automotive,2005-08-06,120875,Software Consultant,1
271,Female,Sports,2001-08-07,123843,Senior Sales Associate,7
272,Male,Music,2014-05-16,43940,Health Coach I,2
273,Female,Movies,2013-01-06,142840,Account Coordinator,1
274,Male,Garden,2006-08-01,125713,Account Representative III,3
275,Female,Books,2010-04-26,122219,Engineer I,6
276,Female,Electronics,2000-05-21,46259,Help Desk Technician,6
277,Female,Clothing,2003-07-14,142403,Engineer III,3
278,Male,Garden,2000-01-26,88165,Librarian,4
279,Male,Garden,2007-06-26,86291,Dental Hygienist,7
280,Male,Kids,2008-06-04,139163,Legal Assistant,5
281,Male,Music,2006-11-05,48892,Accounting Assistant I,1
282,Female,Outdoors,2014-12-24,120540,Junior Executive,6
283,Female,Health,2000-03-13,47450,Automation Specialist I,1
284,Female,Health,2008-08-25,142255,Quality Engineer,4
285,Male,Garden,2000-08-16,62441,Environmental Specialist,3
286,Female,Games,2007-03-11,142529,Librarian,2
287,Female,Beauty,2010-03-19,142103,Associate Professor,4
288,Male,Electronics,2002-08-11,102395,Account Coordinator,6
289,Male,Home,2009-10-09,44593,Engineer III,2
290,Male,Grocery,2007-02-09,120800,Accountant III,5
291,Female,Books,2003-11-26,121238,Senior Developer,4
292,Female,Automotive,2011-12-08,91296,Environmental Tech,6
293,Female,Health,2011-08-24,86070,Clinical Specialist,3
294,Female,Movies,2009-01-31,61519,Human Resources Assistant III,7
295,Female,Books,2005-09-20,47131,Developer IV,6
296,Male,Kids,2008-04-07,93962,Staff Scientist,3
297,Male,Shoes,2014-11-12,133845,Executive Secretary,4
298,Male,Clothing,2010-06-17,43067,Research Assistant I,7
299,Female,Beauty,2001-09-01,88972,Paralegal,7
300,Male,Clothing,2005-11-15,77635,VP Product Management,3
301,Male,Grocery,2011-05-16,148993,Speech Pathologist,1
302,Female,Tools,2002-08-15,113599,Geological Engineer,2
303,Male,Electronics,2012-03-15,76943,General Manager,7
304,Female,Books,2007-05-26,77486,Community Outreach Specialist,4
305,Male,Electronics,2013-11-20,135001,Recruiting Manager,4
306,Male,Baby,2008-11-10,52171,Data Coordiator,2
307,Female,Garden,2006-06-22,139302,Engineer IV,5
308,Female,Health,2000-08-09,126683,Librarian,4
309,Male,Sports,2006-07-04,143781,Product Engineer,4
310,Male,Books,2008-03-05,51761,Cost Accountant,5
311,Male,Shoes,2011-05-26,45463,Marketing Manager,5
312,Female,Clothing,2003-11-15,133498,Nuclear Power Engineer,7
313,Female,Home,2011-03-21,81273,Health Coach II,4
314,Male,Computers,2008-02-27,77921,Environmental Specialist,7
315,Male,Games,2012-07-25,59580,General Manager,2
316,Male,Sports,2010-09-16,40418,VP Marketing,2
317,Male,Grocery,2004-08-05,104844,Structural Analysis Engineer,3
318,Male,Computers,2003-04-27,139304,Help Desk Technician,3
319,Female,Home,2011-12-20,140996,Software Engineer IV,3
320,Male,Garden,2010-04-12,52430,Assistant Media Planner,5
321,Female,Books,2001-08-24,145284,Information Systems Manager,7
322,Male,Computers,2013-11-07,66063,Web Designer III,2
323,Male,Electronics,2008-04-10,134422,Occupational Therapist,4
324,Female,Computers,2012-05-19,106229,Research Associate,4
325,Female,Clothing,2012-05-13,107727,Computer Systems Analyst I,2
326,Female,Jewelery,2007-12-12,130188,Social Worker,3
327,Male,Automotive,2002-10-04,140194,Programmer IV,5
328,Female,Computers,2005-01-06,58719,Media Manager I,4
329,Female,Shoes,2004-07-27,86803,Administrative Assistant III,4
330,Male,Industrial,2010-06-23,68334,Administrative Officer,7
331,Female,Sports,2008-12-23,91906,Food Chemist,4
332,Female,Games,2006-12-20,48064,Office Assistant II,5
333,Male,Industrial,2004-06-30,75281,Data Coordiator,7
334,Male,Industrial,2009-03-24,91659,VP Accounting,4
335,Female,Sports,2001-10-03,52792,Pharmacist,2
336,Female,Home,2001-08-30,40415,Food Chemist,4
337,Male,Movies,2008-06-16,83256,Senior Editor,5
338,Female,Electronics,2012-12-30,145181,Programmer Analyst III,1
339,Female,Jewelery,2004-07-23,78294,Software Consultant,4
340,Male,Electronics,2007-07-03,90120,Biostatistician I,2
341,Male,Home,2008-09-24,80284,VP Accounting,3
342,Female,Shoes,2009-07-26,85511,Business Systems Development Analyst,5
343,Female,Toys,2008-06-13,40138,Payment Adjustment Coordinator,6
344,Male,Books,2010-06-17,42714,Electrical Engineer,7
345,Male,Music,2005-06-21,65767,Programmer Analyst I,4
346,Female,Kids,2013-02-13,149351,Design Engineer,7
347,Female,Tools,2012-01-03,88470,Associate Professor,1
348,Female,Electronics,2009-11-26,90317,Health Coach I,4
349,Male,Garden,2012-10-10,142149,Compensation Analyst,2
350,Male,Electronics,2000-05-21,144073,Programmer I,1
351,Female,Books,2001-08-17,54410,Programmer Analyst II,7
352,Male,Home,2000-06-28,107907,Financial Advisor,5
353,Female,Home,2010-07-10,91249,Mechanical Systems Engineer,2
354,Male,Outdoors,2005-12-20,78478,Compensation Analyst,5
355,Male,Sports,2005-07-07,48812,Human Resources Assistant III,7
356,Female,Grocery,2000-04-27,147440,Sales Associate,2
357,Male,Outdoors,2003-05-18,87978,Senior Financial Analyst,1
358,Male,Automotive,2002-06-17,67800,Desktop Support Technician,2
359,Male,Baby,2010-05-14,42944,Tax Accountant,3
360,Female,Automotive,2004-07-18,84356,Marketing Assistant,2
361,Female,Garden,2006-12-06,144724,Senior Quality Engineer,7
362,Male,Grocery,2003-09-08,147290,Analyst Programmer,6
363,Male,Automotive,2001-12-28,83177,Community Outreach Specialist,3
364,Male,Health,2014-05-31,83252,Civil Engineer,3
365,Male,Clothing,2000-08-30,127393,Help Desk Technician,7
366,Male,Industrial,2006-01-29,67186,Research Nurse,1
367,Female,Beauty,2002-03-05,102361,Computer Systems Analyst III,5
368,Female,Kids,2001-08-15,60688,Paralegal,1
369,Female,Electronics,2013-04-24,44704,Data Coordiator,2
370,Male,Home,2002-01-09,110627,Teacher,7
371,Male,Sports,2000-06-04,127223,Operator,5
372,Female,Kids,2001-08-31,96163,Safety Technician IV,3
373,Male,Jewelery,2012-04-24,86524,Developer IV,5
374,Female,Baby,2005-09-19,141464,Programmer IV,4
375,Female,Industrial,2014-08-27,88029,Help Desk Operator,4
376,Male,Home,2007-03-21,47281,VP Quality Control,6
377,Female,Electronics,2002-01-15,93245,Staff Scientist,1
378,Male,Automotive,2012-07-30,110589,Cost Accountant,7
379,Male,Jewelery,2003-04-03,63735,VP Accounting,6
380,Female,Industrial,2013-11-23,91182,Compensation Analyst,5
381,Male,Music,2012-09-09,133007,Software Test Engineer I,7
382,Female,Home,2012-08-10,92879,Nurse,2
383,Male,Clothing,2002-12-10,104079,Systems Administrator IV,4
384,Female,Beauty,2005-11-01,63918,Structural Engineer,4
385,Female,Automotive,2011-05-02,128885,Office Assistant III,5
386,Male,Games,2011-02-27,140567,Research Associate,2
387,Female,Garden,2003-08-09,95726,Registered Nurse,4
388,Female,Music,2008-01-24,84261,Senior Editor,5
389,Male,Baby,2013-06-22,42924,Marketing Assistant,2
390,Male,Computers,2008-09-14,86670,Web Designer II,2
391,Female,Clothing,2003-11-04,147702,VP Quality Control,4
392,Female,Beauty,2013-02-02,132470,Database Administrator II,6
393,Female,Music,2000-09-11,63341,Research Associate,7
394,Female,Beauty,2002-10-23,91651,Staff Accountant III,4
395,Male,Baby,2013-09-11,48927,Sales Representative,6
396,Female,Kids,2013-11-17,143433,Web Developer II,1
397,Male,Toys,2006-10-02,81998,Product Engineer,5
398,Female,Home,2001-05-08,68584,Quality Engineer,2
399,Female,Computers,2009-07-04,88216,Accountant III,3
400,Male,Health,2011-12-24,86046,Nuclear Power Engineer,5
401,Female,Outdoors,2008-03-05,148906,Project Manager,5
402,Female,Clothing,2007-11-10,93266,Recruiter,7
403,Female,Home,2002-03-09,69702,Food Chemist,1
404,Female,Outdoors,2010-12-28,43366,Administrative Assistant IV,4
405,Male,Industrial,2005-05-19,101945,Web Developer I,2
406,Male,Toys,2003-02-01,54007,Geological Engineer,5
407,Male,Baby,2013-04-09,54704,Analog Circuit Design manager,3
408,Female,Computers,2007-11-13,93954,Project Manager,5
409,Female,Home,2007-04-22,58235,Analog Circuit Design manager,6
410,Female,Tools,2012-01-07,148940,Senior Financial Analyst,6
411,Male,Kids,2003-04-09,110615,Paralegal,6
412,Male,Jewelery,2012-01-14,94596,Web Developer I,1
413,Female,Health,2008-09-19,94502,Executive Secretary,1
414,Male,Games,2011-08-10,72505,Registered Nurse,3
415,Male,Toys,2001-06-18,147150,Analog Circuit Design manager,6
416,Female,Beauty,2002-02-09,66313,Food Chemist,5
417,Male,Electronics,2002-11-04,97372,Systems Administrator I,6
418,Female,Home,2013-10-02,149598,VP Product Management,3
419,Male,Health,2008-02-22,104224,Clinical Specialist,5
420,Female,Tools,2007-09-24,95583,Civil Engineer,2
421,Female,Music,2001-01-05,92043,Assistant Manager,3
422,Female,Computers,2009-09-17,118307,Staff Accountant II,1
423,Female,Jewelery,2011-05-11,145281,VP Accounting,4
424,Female,Home,2013-08-20,148640,Internal Auditor,4
425,Female,Computers,2000-09-07,125523,Financial Advisor,7
426,Male,Kids,2009-01-12,49503,Occupational Therapist,5
427,Female,Sports,2000-09-10,146611,Systems Administrator III,7
428,Female,Sports,2012-02-08,125465,Teacher,1
429,Female,Clothing,2003-01-23,75024,Structural Analysis Engineer,6
430,Male,Sports,2011-10-25,60793,Registered Nurse,7
431,Female,Tools,2010-06-06,110744,Accountant I,2
432,Female,Jewelery,2006-08-21,46653,Registered Nurse,4
433,Male,Games,2014-05-04,114919,Database Administrator III,7
434,Female,Computers,2000-07-24,98733,Payment Adjustment Coordinator,4
435,Female,Health,2008-08-23,139775,Chemical Engineer,1
436,Female,Jewelery,2005-05-10,69559,Programmer Analyst III,3
437,Male,Movies,2007-07-10,48934,Electrical Engineer,6
438,Male,Grocery,2014-04-25,79980,Recruiter,5
439,Male,Clothing,2002-04-01,108854,Senior Editor,4
440,Male,Books,2007-01-23,128105,Help Desk Technician,7
441,Male,Books,2008-06-10,71676,GIS Technical Architect,4
442,Female,Music,2007-09-11,139347,Data Coordiator,1
443,Female,Industrial,2002-02-28,80491,GIS Technical Architect,7
444,Female,Tools,2010-12-30,119385,Assistant Media Planner,4
445,Male,Toys,2002-03-23,149835,Geologist III,1
446,Female,Health,2008-12-02,80137,Business Systems Development Analyst,2
447,Male,Home,2000-08-25,79724,Developer IV,7
448,Male,Books,2009-06-25,102458,Occupational Therapist,1
449,Female,Clothing,2014-04-20,134205,Biostatistician I,4
450,Female,Beauty,2004-05-21,76052,Technical Writer,5
451,Female,Music,2004-11-17,144608,Research Associate,4
452,Female,Toys,2000-05-10,111072,Senior Quality Engineer,4
453,Male,Automotive,2010-01-24,126485,Computer Systems Analyst I,6
454,Female,Baby,2006-09-22,96388,Graphic Designer,6
455,Female,Automotive,2002-06-13,115506,Product Engineer,2
456,Female,Industrial,2012-03-10,115679,Editor,2
457,Female,Jewelery,2001-12-11,133040,Research Associate,6
458,Female,Movies,2000-05-14,91660,Research Assistant I,5
459,Female,Computers,2009-09-20,136406,Chemical Engineer,7
460,Male,Automotive,2005-04-28,146167,Assistant Professor,5
461,Female,Books,2003-04-04,94299,Media Manager III,4
462,Male,Industrial,2004-07-31,56382,Executive Secretary,3
463,Male,Tools,2010-12-21,120160,Database Administrator II,3
464,Female,Shoes,2008-04-23,77060,Marketing Manager,3
465,Male,Computers,2007-10-17,122540,Administrative Officer,2
466,Female,Games,2008-05-29,128562,Senior Developer,7
467,Female,Sports,2002-03-15,60674,Software Engineer I,3
468,Male,Jewelery,2005-04-16,93609,Environmental Specialist,6
469,Female,Kids,2010-08-08,97913,Occupational Therapist,3
470,Female,Grocery,2005-08-13,108380,Data Coordiator,5
471,Female,Baby,2007-11-16,50448,Database Administrator III,4
472,Female,Books,2012-02-25,133781,Office Assistant I,4
473,Female,Books,2009-11-14,90409,Research Assistant II,3
474,Male,Garden,2004-01-07,144953,Registered Nurse,7
475,Male,Outdoors,2001-12-22,46072,Nurse,2
476,Male,Books,2012-02-01,119602,Actuary,5
